Fecha,Orden ID,Cliente ID,Nombre del Cliente,Ciudad Cliente,Vendedor ID,Ciudad Vendedor,Producto ID,Categoria Producto,Peso Producto g,Volumen Producto cm3,Fotos Producto,Precio Unitario,Cantidad,Subtotal Orden,Costo Flete,Total Orden,Total Pago Orden,Tiempo Entrega Estimado (Dias),Estado Orden,Calificacion,Tiempo de Reposicion,ClasificacionABC
2018-07-04,000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,fda4476abb6307ab3c415b7e6d026526,SP,5996cddab893a4652a15592fb58ab8db,presidente prudente,557d850972a7d6f792fd18ae1400d9b6,ferramentas_jardim,13805.0,118125.0,3.0,810.0,1,810.0,70.75,880.75,880.75,20.494131944607943,delivered,5.0,21,C
2018-02-27,001021efaa8636c29475e7734483457d,2dfbf74859104caf100df3720a1d833d,2193383c470dc9cec894ce78afd0ebd6,PR,6560211a19b47992c3666cc44a7e94c0,sao paulo,5d7c23067ed3fc8c6e699b9373d5890b,fashion_bolsas_e_acessorios,250.0,640.0,3.0,49.0,1,49.0,15.1,64.1,64.1,23.606087963096797,delivered,4.0,88,C
2017-09-11,0010b2e5201cc5f1ae7e9c6cc8f5bd00,57ef317d4818cb42680fc9dfd13867ce,e883f26917e2095c439f70c2cf8c914b,RJ,3504c0cb71d7fa48d967e0e4c94d59d9,maua,5a419dbf24a8c9718fe522b81c69f61a,cool_stuff,1800.0,5780.0,2.0,48.9,1,48.9,16.6,65.5,65.5,15.264201388694346,delivered,5.0,52,C
2018-04-10,00324b3eda39ba5ecce3945823e3594c,cbde8134b8a718381d08167dfc58ec8c,137b3b977306da3cbeb1b552378f08e2,PR,0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,54e5063e43f27f747d592eb24e913150,industria_comercio_e_negocios,3950.0,41200.0,3.0,76.0,1,76.0,34.07,110.07,110.07,19.948402777779847,delivered,5.0,22,C
2018-07-06,0039500db36d50d7d0bfaf23723550f3,90bd9911aed064dfc625750fbd83ebca,77971c2442b1adbbe0448409df2ea56a,AL,c3cfdc648177fdbbbb35635a37472c53,curitiba,62984ea1bba7fcea1f5b57084d3bf885,esporte_lazer,1092.0,17160.0,1.0,169.9,1,169.9,33.33,203.23000000000002,203.23,27.557268518488854,delivered,5.0,3,C
2017-10-23,0087889a1c836be17f58afd7f1729a4a,c6f1de87b7344ea1d33400c3c15b1a47,a2dbc98e10ce1a8a3a0c98b4b41ef63c,SP,fe2032dab1a61af8794248c8196565c9,campinas,62c89abe1afe3a23c17765d462718a4c,perfumaria,540.0,5681.0,1.0,259.0,1,259.0,10.63,269.63,269.63,10.539270833134651,delivered,5.0,61,C
2018-04-02,008a1b3db2a8bf63418c2cf7c7f494b1,cc2db083341ec9bb757b9f9a70b289d9,ea9657105a8bd47c0a60e1f2a8f2842d,MG,8b28d096634035667e8263d57ba3368c,sao jose dos campos,5b3aa845bba5aa7ba1216e36ae882cfa,beleza_saude,75.0,1760.0,2.0,14.89,1,14.89,18.23,33.120000000000005,33.12,20.601793981622905,delivered,1.0,75,C
2018-07-11,0096668e5b0b8e9657a6f7209a4e58b4,b6fbaad4eb3a0794111683dca8122610,839ec7c231c579ed10ddab6610f8f12b,SP,c003204e1ab016dfa150abc119207b24,cajamar,55782cb82e0efe052da0a3da237da3b2,automotivo,2450.0,27000.0,3.0,166.9,1,166.9,13.47,180.37,180.37,7.435173611156642,delivered,4.0,49,C
2017-09-19,0098dbda25722a3f019fe252a0cd10b3,6ecb390e8056057a25a1b49c37206958,8c81d87b1a876ac44f968c7f112501f5,GO,cca3071e3e9bb7d12640c9fbe2301306,ibitinga,568ba441f7f464dc73d23a91cf8ca671,cama_mesa_banho,2200.0,16200.0,1.0,143.54,1,143.54,21.49,165.03,165.03,21.246134259272367,delivered,4.0,24,C
2018-08-10,00ab3a43bda739029ffce95d3b2fb56c,c9f69364407bc8db796b2c6f1c353f61,c683ed9776a3bb038982ef2aaacdb9a5,SP,42b729f859728f5079499127a9c2ef37,sao paulo,634256dbcd184b3757ffd7632c9fe52a,beleza_saude,150.0,1360.0,1.0,27.9,1,27.9,7.46,35.36,35.36,4.493576388806105,delivered,5.0,75,C
2018-01-03,00b5e1c770b1868ec1b6b726be3aa9b9,8d9cf828f7181bf76915fddfdbb4148b,466731c3fc40a57fec44f98e97e1a55b,SP,ef30892870c278497523264be1be2241,araraquara,5b4b8595bd33017cf3c87c8ab09c2e42,papelaria,150.0,1122.0,1.0,47.4,1,47.4,11.85,59.25,59.25,22.198923611082137,delivered,5.0,58,C
2018-01-22,00b9e0f8f588d0406a3de447eb606970,282ab86c49646e5a18507b088ee0d74c,680b9de0221bb1b59defd49ed2a5d948,RJ,1c129092bf23f28a5930387c980c0dfc,sao paulo,5d90b82ad1fdff812987fa28158b7984,cama_mesa_banho,1400.0,8000.0,1.0,39.9,1,39.9,16.6,56.5,56.5,22.528761574067175,delivered,5.0,24,C
2018-01-13,00c42b1633c1b2fa4e937bf312466561,36d63113a38882f3f464f8eaa96c4b1c,1f90117a847636892e3c5bf569f2ac68,SC,6edacfd9f9074789dad6d62ba7950b9c,guarulhos,6131240aedf34224270cd6f07e8229e4,moveis_decoracao,250.0,5208.0,1.0,39.9,1,39.9,15.1,55.0,55.0,32.42159722233191,delivered,5.0,72,C
2018-03-06,00d5fac7792747fba4b528f23930bebd,83b22908078c379ad87b33bd9034ebc2,d58b4f7e679c57d0c5d0f7b8cf3e5722,SP,6b243f80ed07b10f0e8aa0f21a205f3c,curitiba,616042729c11849827291496b18e9ec5,esporte_lazer,300.0,4096.0,1.0,64.9,1,64.9,15.33,80.23,80.23,20.51855324069038,delivered,5.0,3,C
2018-01-11,00f7c5b41250e0126ced62d612ff4711,3c5aa62fbe268c0beee7bf98386b421a,8a64013cee18edf9edbc21b0dd9acec4,PI,955fee9216a65b617aa5c0531780ce60,sao paulo,583f158587cdecda3e8bdea694021e39,esporte_lazer,800.0,8736.0,7.0,45.0,1,45.0,35.67,80.67,80.67,33.56246527796611,delivered,5.0,3,C
