Fecha,Orden ID,Cliente ID,Nombre del Cliente,Ciudad Cliente,Vendedor ID,Ciudad Vendedor,Producto ID,Categoria Producto,Peso Producto g,Volumen Producto cm3,Fotos Producto,Precio Unitario,Cantidad,Subtotal Orden,Costo Flete,Total Orden,Total Pago Orden,Tiempo Entrega Estimado (Dias),Estado Orden,Calificacion,Tiempo de Reposicion,ClasificacionABC
2017-05-24,00fb055886536063afa0dbee07a0944f,ab9e9b26c172c928efe04a741772958f,696b9f2a7a5565a5b79d8490514d3f3e,RJ,e88c9b79e592e370d6bd852eeefbf057,pato branco,5d422bd54b54307ff7a5e770f40946e4,brinquedos,300.0,1280.0,2.0,11.9,1,11.9,16.79,28.689999999999998,57.38,27.62185185169801,delivered,5.0,76,C
2018-01-11,00fcf938cde49ae138942b632ed62393,396573e1df49285167b26331d72e7f96,5ac6468b01b29ea7238103d44092c65a,SC,955fee9216a65b617aa5c0531780ce60,sao paulo,54d9ac713e253fa1fae9c8003b011c2a,cool_stuff,1867.0,7776.0,8.0,29.5,1,29.5,20.84,50.34,50.34,28.95504629611969,delivered,5.0,52,C
2018-07-05,01237c761ffb72594a466ed514518af0,344bcdb5be77a9718607ba86ca48f765,546b0c5f60edd7e076dac9b1c637952f,MG,c003204e1ab016dfa150abc119207b24,cajamar,629e019a6f298a83aeecc7877964f935,automotivo,1750.0,27000.0,5.0,107.9,1,107.9,18.56,126.46000000000001,126.46,19.055381944403052,delivered,5.0,49,C
2018-04-04,012dc9e42da722d22e32c618a2521bec,90de167c37925320a60cc9f4cc750117,1946044620cb72ca4f9c439a67bd92f2,SP,f262cbc1c910c83959f849465454ddd3,sao paulo,5637032095493f280eae8d9da00da6f1,malas_acessorios,750.0,5346.0,1.0,49.99,1,49.99,8.88,58.870000000000005,58.87,11.403263888787478,delivered,3.0,2,C
2017-11-04,012eab2625c5f8aaac6f37f2c19ef62f,6cd14b229f3969efc4e799d5a58af63c,74d3316a8a3535f05feed75b4df15e7a,RJ,4a3ccda38b2129705f3fb522db62ca31,marilia,5c699beec1e114bd15b35cf8d01ec6b5,construcao_ferramentas_seguranca,640.0,5610.0,1.0,81.9,1,81.9,15.32,97.22,97.22,22.97344907419756,delivered,5.0,21,C
2017-10-22,0135675503322d804abef7ec5ed4824b,969678c7317657c3a5855fe90a69894c,d47c6631d67f856392d0c8040db162d2,RS,01fdefa7697d26ad920e9e0346d4bd1b,londrina,5c6a3e484e7aebf406c2045718dea406,beleza_saude,1150.0,5544.0,3.0,104.99,1,104.99,17.98,122.97,122.97,24.19216435169801,delivered,5.0,75,C
2017-11-23,014ffbfe2df4c96a2b063d084583978f,ea1991a3341d703b3b5c4c97790b8b2b,6c893cb84f2fdb0afd6fc87eb5c054c8,SP,522620dcb18a6b31cd7bdf73665113a9,cascavel,586328f570ac0b651d452f1227db4d1c,relogios_presentes,119.0,2210.0,1.0,79.0,1,79.0,15.3,94.3,94.3,24.05804398143664,delivered,2.0,89,C
2017-11-27,016c6bb57a9de6b4e8f938fa6dde61b3,f1d4911942d2bc40d520ae47013a7643,804eb66464db178ab95f5f4ced1f4a9a,RS,de23c3b98a88888289c6f5cc1209054a,sao paulo,566d15b940c0d5e7a0a37c82b8ce353f,papelaria,400.0,2205.0,9.0,129.9,1,129.9,16.67,146.57,146.57,30.606157407630235,delivered,5.0,58,C
2018-03-05,017c9c82265e832840e4209750680e94,1ff23faa252154298c3e52a1e36c1cda,843fce53a8077f28ff10cbfaab2ab957,RJ,6a51fc556dab5f766ced6fbc860bc613,marilia,59089e1668cc247d055ca3f9149093fc,climatizacao,2950.0,40068.0,1.0,159.9,1,159.9,25.96,185.86,185.86,20.240775463171303,shipped,1.0,60,C
2017-10-29,019a242bea1553b3b7e12bc38cb57a23,ff70b0c5553479bb9130858713a7e05b,cd02ea87f23fff05145d05e4275270e1,RS,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,5ce6a6914bbb228f4cb4ee93c1cd0d15,brinquedos,1700.0,20520.0,2.0,349.99,1,349.99,18.53,368.52,368.52,23.620324074290693,delivered,5.0,76,C
2017-07-25,019b8e16e30c8b9ad9bf87e039a27765,fe9cb076acaffbee858187352e2f7266,15cdca72d93fc92eab25e4484f9fcb88,SP,5b67882648febfb6e1225e6ad7164f6b,umuarama,5d0386961a44323a9772e63672317131,esporte_lazer,900.0,7260.0,1.0,99.99,1,99.99,13.72,113.71,113.71,21.15951388888061,delivered,3.0,3,C
2018-03-26,019d444bd00f1ccb4643de466f9a1525,44f5f5476eb92ebc9c4ab70c8b1bf189,bcec9b9aa5e994638f1eb6c2e5f449aa,CE,0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,632fe3d92c45b5c83f4102fadd94ee92,industria_comercio_e_negocios,6950.0,58240.0,2.0,138.0,1,138.0,29.23,167.23,167.23,22.08940972201526,delivered,1.0,22,C
2018-03-22,01c4766d43d50d892132f7bb04d97300,570f691879071b176cf72fd133287711,2e71ef0bd6b2e092901c480f193e0602,SP,3361277dc30b7cccdb0c286b24219756,maringa,639cacc61d50ee82079176b446399376,construcao_ferramentas_jardim,300.0,6400.0,2.0,35.89,1,35.89,18.23,54.120000000000005,54.12,27.033831018488854,delivered,5.0,55,C
2017-08-03,01c95de6d0852189b4d6b6d32a3c8e0c,12a9f04e1b2cad4b8f510168f31d5663,0f2489905219a85efa84d4e6f873367e,SP,92eb0f42c21942b6552362b9b114707d,sao paulo,5bd6493a2d5a384987386f2696bae33d,telefonia,150.0,836.0,1.0,19.99,1,19.99,7.78,27.77,27.77,12.032083333469927,delivered,5.0,87,C
2017-12-11,01f7d29898cf7c5fcb583a2a29508202,bafd4361ea9061be4b18bbc25300f2b9,ada075db68fd3e0c522fb5a9e2b26805,SP,1c129092bf23f28a5930387c980c0dfc,sao paulo,5d90b82ad1fdff812987fa28158b7984,cama_mesa_banho,1400.0,8000.0,1.0,39.9,1,39.9,11.73,51.629999999999995,51.63,16.95157407410443,delivered,5.0,24,C
2018-04-01,023aa4b0585594124bc50e55e0e11a5f,678c7714cdd189c7aca5cd7e6c70fb94,ab08b7f9d42ac261c3f6b7c201bb3c99,SP,e333046ce6517bd8bb510291d44f0130,ipaussu,5a9f5760be273f3c7994beec0dbee655,utilidades_domesticas,850.0,14400.0,1.0,69.0,1,69.0,13.84,82.84,82.84,16.039189814589918,delivered,5.0,83,C
2018-06-12,0240c9d87266e4cabc3bacdcdc6e77e4,9ff020a259deb59e7cd97016824d8039,8e3524c27a1d5110baf073cb148b005c,SP,001cca7ae9ae17fb1caed9dfb1094831,cariacica,547b95702aec86f05ac37e61d164891c,ferramentas_jardim,9100.0,21294.0,1.0,129.0,1,129.0,34.98,163.98,163.98,30.638530092779547,delivered,5.0,21,C
2018-08-09,024a74550cdbd36c0fe3955fc9e2bcf0,5837b288ad076175ff451a905d6153f9,4619a0062095f6d6946a97ae46be4782,SP,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,5348b1bdd951b67a4d2a58992e2233ed,telefonia,250.0,816.0,6.0,27.99,1,27.99,7.46,35.449999999999996,35.45,4.659456018358469,delivered,4.0,87,C
2017-10-29,024d4ef645f204e4f95cb2a0d9cc61f9,1586d296dc10717a16c0ebfbd90439b5,af3b675d1e66e779b777389130df216e,MG,1835b56ce799e6a4dc4eddc053f04066,ibitinga,5b226d7c52f86ac72457617f78cff95d,cama_mesa_banho,875.0,18000.0,1.0,56.99,1,56.99,16.16,73.15,146.3,25.620034722145647,delivered,5.0,24,C
2018-03-09,025830a006d984bf712a8c6a1eca41c0,8048f231121e6b83e7042a1d02021b13,a13864ff18b06e8853bfd9d2525ae3b6,ES,955fee9216a65b617aa5c0531780ce60,sao paulo,54d9ac713e253fa1fae9c8003b011c2a,cool_stuff,1867.0,7776.0,8.0,35.0,1,35.0,26.43,61.43,61.43,18.17880787048489,delivered,1.0,52,C
2018-03-08,026a69b8c98fbfc61de9050c41f1dd95,5441451c5c5d190466e7afbf2adc1c19,6392c99966ef399db8781a316f271d80,SP,c003204e1ab016dfa150abc119207b24,cajamar,629e019a6f298a83aeecc7877964f935,automotivo,1750.0,27000.0,5.0,119.9,1,119.9,15.57,135.47,135.47,11.607951388694346,delivered,4.0,49,C
2018-01-28,02913330a2afb68b49bc9c5370bd5517,8ada7e4f6ce429a858423a217c7225a0,31e6423a5f322dddb4e9ac4092e92066,GO,b2a6d334e2833acea353624840e25a0e,sao paulo,63d6e7ab30f482382c9dfbbccae7da54,eletroportateis,625.0,6384.0,6.0,104.9,1,104.9,16.98,121.88000000000001,121.88,24.347939814906567,delivered,3.0,51,C
2018-04-18,0292fb46a5e22715459cb9a7b96e7aae,af922db8b1f8ca65d972706774fe6f1a,f36011def8af6cc9a2ee59eeebb2eb00,SP,76d5af76d0271110f9af36c92573f765,sao paulo,61194019f380f0b760c31e66ee97e50d,esporte_lazer,400.0,1760.0,1.0,71.3,1,71.3,11.15,82.45,82.45,15.094884259160608,delivered,5.0,3,C
2018-03-11,02a58113b6c316d2aa7e110c8bdcbe6a,16457aa87c0aa54bf5a3ba8b46f5a5ba,0743c38f68e0d3fa5cff234ddb844569,SP,080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,60e77eeb5275ed33a04d1fd482feaac8,informatica_acessorios,50.0,1920.0,1.0,42.99,1,42.99,15.23,58.22,58.22,17.508275462780148,delivered,5.0,2,C
2018-03-03,02b7cbd604df10c09427902dc682b0d3,656c63b20f75ccd37b33455ec589dc4f,1c2577794465706dfd32bb06dc7bf704,SP,955fee9216a65b617aa5c0531780ce60,sao paulo,54d9ac713e253fa1fae9c8003b011c2a,cool_stuff,1867.0,7776.0,8.0,35.0,1,35.0,13.08,48.08,48.08,11.259629629552364,delivered,5.0,52,C
2017-10-29,02beac5428ccbd30f4b3fbded058289f,b3ab3d70a498cea9282b87bc2fdf4c00,8e22f3dce83f57ae02fc53050460fa76,SP,2009a095de2a2a41626f6c6d7722678d,sao jose do rio preto,566f6035da0eb2a5d974ac66ae6d148c,papelaria,2500.0,4774.0,4.0,21.99,1,21.99,26.84,48.83,126.53,23.12390046287328,delivered,5.0,58,C
2018-08-16,02bfd16c1a67263989b258fa92e20d3b,8f720778bef871705f690cdd7f2c7407,68041dc76662fa5c940d7869f110b844,PB,5656537e588803a555b8eb41f07a944b,brasilia,625dac8156b3157351e7257305148f3f,telefonia,175.0,3672.0,1.0,39.89,1,39.89,51.0,90.89,90.89,26.16491898149252,delivered,4.0,87,C
2017-09-18,02dade411839b1c334363dc9058e1124,95aa1acd3c367fcf72a56d106afc9838,34f0b37e89f9ef4768bdd233630f9b62,SP,17e34d8224d27a541263c4c64b11a56b,riberao preto,5cde85235c4ae7747e9b48de95178a14,informatica_acessorios,383.0,6460.0,2.0,218.36,1,218.36,13.03,231.39000000000001,231.39,15.219710648059845,delivered,3.0,2,C
2018-01-24,02e20d5cc0d1df880e43ab3ed50a238b,d58a66feb9cc844ddeebaa8ea7e5e84f,b985671dc857b32f3a4f1d2aa65b661e,SP,c8b3445d737de6befde0c88ede534a5e,sao paulo,5b8423dc7f23089c9c59c5d140eb5a1c,brinquedos,5250.0,39780.0,3.0,129.99,1,129.99,14.51,144.5,144.5,14.582164351828396,delivered,5.0,76,C
2017-11-10,02e275a40a23c32f81e13045c84b5a19,47acf38bb484855c8e70a956e4807145,6b0dd175b453231b94a184a1b97faa43,SP,7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,5c087f345e870429ec3ea20a49a79735,moveis_escritorio,16450.0,93744.0,1.0,196.99,1,196.99,35.54,232.53,232.53,19.090590277686715,delivered,5.0,53,C
2018-08-01,02ef9aa8b6692c2ff049065f5a150c28,d5ef4d5c3a1c273a23a77f366fae4ec5,dd6cd377eeb9f4b456733ea3c0862627,MG,537eb890efff034a88679788b647c564,rio de janeiro,63888810573fd78e60644cdf803cd2fa,esporte_lazer,100.0,2816.0,2.0,29.9,1,29.9,15.31,45.21,45.21,18.51199074089527,delivered,4.0,3,C
2017-11-08,02f886b28af7079755677a544bc54fda,b6354a784b22dad8e36b59fb230baedb,eba485f19136a2796edc73bc0dd274e7,SP,cfb1a033743668a192316f3c6d1d2671,votorantim,61963c77fd2c3db173915d9dc837ee12,cama_mesa_banho,16050.0,157500.0,1.0,69.9,1,69.9,54.24,124.14000000000001,124.14,13.973032407462597,delivered,5.0,24,C
2017-05-19,02fab07a655ce404330d65b508f32d9e,10eee4da147ae9bc5f7b21f32c1fb3c0,d2b5dbb06b988b0d6d95c772f1d6dbad,GO,d66c305afaec317ebee552073a674429,ribeirao das neves,63c4a70e0a12b4bd9475fca9e9937e76,automotivo,30000.0,216000.0,1.0,122.99,1,122.99,164.98,287.96999999999997,287.97,25.387835648376495,delivered,5.0,49,C
2018-07-01,0300095becf10f9b2993706759522741,05428560b11124d146bc86a2c4d5bf35,8af7c3e9ec5825a574bf03b2813eea29,SP,4e922959ae960d389249c378d1c939f5,jacarei,59f17be62604541797d4df87ae80cf73,consoles_games,550.0,5202.0,2.0,89.0,1,89.0,9.93,98.93,98.93,16.152048611082137,delivered,3.0,22,C
2017-06-30,030aeef4719e9d33e0c39bd00a9a14be,b33f0975ea69aae6fac18326ac5bfb0b,abbc8cf2f41e400436f55ee76de5ffff,SP,5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,560ed840b584c6aef5c8959366dfd41e,bebes,12750.0,78584.0,2.0,388.0,1,388.0,50.22,438.22,438.22,12.191250000149012,delivered,1.0,21,C
2018-03-04,031f488d7e8549b5d8af94f5a3e9300e,46dcf912d282f0e1aa9c3278ec488723,122f8b38ffa5173825fedec390c9ff95,MG,7a67c85e85bb2ce8582c35f2203ad736,sao paulo,6413f7a28e149a324c4a914000399fb2,cool_stuff,975.0,19499.0,1.0,144.99,1,144.99,17.26,162.25,162.25,16.52767361095175,delivered,1.0,52,C
2018-06-28,03225b1b0b8897aa43a745d14fde3c87,aadf17dc4ad865d7d15ef9ceecd4bbb8,4883109917dd4bf33d4d029dab65ad2b,SP,29e6e05b65f93bc224c644319dc52ecf,juiz de fora,61fef484fda8aa0f5bad54aa9c640d3f,bebes,450.0,6318.0,5.0,98.9,1,98.9,18.79,117.69,117.69,20.61138888867572,delivered,5.0,21,C
2017-07-21,032445a7ba9d6dc90dfc011a48e5c954,58c5a7e613f2142414070e137c7c7a6a,5e314cabfdd901de8fd47c135e86ceb6,SP,f8db351d8c4c4c22c6835c19a46f01b0,salto,61eee7a9f1884caed59c316047c5832f,papelaria,1200.0,4576.0,4.0,129.9,1,129.9,12.41,142.31,142.31,19.057152777910233,delivered,3.0,58,C
2018-02-20,0340d758cc0da066316cbc55fb7f7596,4ccb9f83aedb33faa7a13cc3ba34a56e,256b8658e7303076f8b29a6c8b146d7c,SP,79ebd9a61bac3eaf882805ed4ecfa12a,cascavel,5d345f462eb17adfd93612708672afb7,moveis_decoracao,2750.0,23400.0,3.0,184.9,1,184.9,21.78,206.68,206.68,23.633321759290993,delivered,3.0,72,C
2018-01-10,035678e70978296fb0e7469a611c322e,b7b9fc03a71452c9ca2b9aca57f9d350,8cbff6bd0d7b88c40dea8c71b9e5e28a,SC,81a1104df0f08b59c68aa5b03cfe398e,sao jose dos pinhais,557484a8965bdc4e548658239f7663fd,ferramentas_jardim,4000.0,15120.0,6.0,179.99,1,179.99,23.58,203.57,203.57,25.764062500093132,delivered,5.0,21,C
2017-02-16,036b2855a4c92b30f0bd1f3fc0f46e48,0bf622b6f70b7f7f0af5948b9886af09,d7b4f3c9c89ba771ef099693c61d7085,MG,acb6c2ca5c82411c1fdb88d5fd5eb95e,sao paulo,63ee501f72520d5ec54cef5fd3a21a20,esporte_lazer,1093.0,5040.0,3.0,48.9,1,48.9,18.63,67.53,67.53,33.335983796510845,delivered,4.0,3,C
2017-09-05,036ea72a17833a6fbbcd3e4df8250292,c805f98a53f91cc2794ca2402fde6cd4,06caeb75009153db427a6098d7974115,PR,835f0f7810c76831d6c7d24c7a646d4d,sao paulo,6401d2f82d6e6c52998ce626fe4eda24,fashion_roupa_masculina,300.0,13200.0,1.0,69.9,1,69.9,15.24,85.14,85.14,22.741539351642132,delivered,1.0,18,C
2017-12-16,0374e57efce00e3004e93acd6310c58f,ee5b048a2bbbcaa49900bb4e0fa515c9,5709900c6ded8af6dfb28b043943368d,SP,1835b56ce799e6a4dc4eddc053f04066,ibitinga,5b226d7c52f86ac72457617f78cff95d,cama_mesa_banho,875.0,18000.0,1.0,56.99,1,56.99,9.94,66.93,66.93,19.482430555392057,delivered,4.0,24,C
2018-02-22,039ec885e36627ae6353cfd42a41c5da,f970cf91aebb424d5389764dbc72d2b1,9c36eedc9de64614cf76d7212fe1c919,BA,77530e9772f57a62c906e1c21538ab82,curitiba,55cfb8318af6fe90dfacf0892abb2cee,moveis_decoracao,1500.0,8349.0,2.0,100.0,1,100.0,25.25,125.25,125.25,24.468449073843658,delivered,1.0,72,C
2018-01-03,039ff75de38e514eaa8ffb2618d5227e,de95d380cf871cae8dc79670a84a1bbe,eba4578c5f557801a1a0e70e71fd6580,MG,dd2bdf855a9172734fbc3744021ae9b9,belo horizonte,5b59b0c94f8e31d14fe89dbbfda3df6c,cama_mesa_banho,700.0,14400.0,1.0,69.9,1,69.9,14.22,84.12,84.12,29.634085648227483,delivered,5.0,24,C
2017-12-21,03a11ed94a7381584b86c4968625207b,c5c6a0a05aa9b46c6e725e72a557c00b,3ed2ed22a2a616bd2102cef0a8d9dbe7,MG,c8b3445d737de6befde0c88ede534a5e,sao paulo,5b8423dc7f23089c9c59c5d140eb5a1c,brinquedos,5250.0,39780.0,3.0,129.99,1,129.99,25.75,155.74,155.74,27.342523148283362,delivered,5.0,76,C
2017-02-27,03b9c1e9a4406645c06dde26f4a704e9,c156f1d60c8d28bcd38c1f5720d50782,d0a6453b80e82672b2b70e82ce1c4e9e,PI,6560211a19b47992c3666cc44a7e94c0,sao paulo,5d7c23067ed3fc8c6e699b9373d5890b,fashion_bolsas_e_acessorios,250.0,640.0,3.0,69.0,1,69.0,24.97,93.97,93.97,35.60609953710809,delivered,5.0,88,C
2018-07-01,03bb0baa2f30152130d3d5df8e44507e,652dd9e1eab2777d504a091894b1d2fe,805922a35a678927e40dac9c79a1971c,SP,729f06993dac8e860d4f02d7088ca48a,limeira,59f09deeea7c839a9212a19f3416b892,utilidades_domesticas,30000.0,114840.0,4.0,379.9,1,379.9,69.01,448.90999999999997,448.91,15.621331018395722,delivered,5.0,83,C
2017-09-29,03caa2c082116e1d31e67e9ae3700499,1617b1357756262bfa56ab541c47bc16,0a0a92112bd4c708ca5fde585afaa872,RJ,b37c4c02bda3161a7546a4e6d222d5b2,sao paulo,5769ef0a239114ac3a854af00df129e4,telefonia_fixa,750.0,4096.0,3.0,1680.0,1,1680.0,28.01,1708.01,13664.08,23.3577314815484,delivered,1.0,15,C
2017-12-13,03da04c1427d7b8bff38d76efca1029d,709116483105e4198b439016da66d4d0,aaaf358226ca4a9f20077806de76473f,PR,f67efa3f0b6761102a7f8c6b7b571f5d,curitiba,638882546765f357dc667b5987ceb69d,ferramentas_jardim,1950.0,9216.0,1.0,95.99,1,95.99,12.38,108.36999999999999,216.74,19.293981481343508,delivered,3.0,21,C
2017-12-17,03e53afdd1e98f83636c3fd14562c7ab,e870d0f2d7496ef238b5baef98f03ac9,3d2555c2e4253c01ed592b57b96adc54,SC,4830e40640734fc1c52cd21127c341d4,sao paulo,561cea7963070b5a99b20b962862a0e1,utilidades_domesticas,450.0,6825.0,2.0,19.0,1,19.0,16.11,35.11,35.11,31.31162037048489,delivered,5.0,83,C
2017-08-30,03ee7babeb6e80cbb48962ce1719fcf7,0d3fd248b9091835bed29763f4eca9b8,468594b34a196118b704963bacd30529,SC,5160d23075764e18e07c1f4a87fad743,sao bernardo do campo,63bd0e7bb0fdb40cbd6777aa5c7d5a56,brinquedos,300.0,4032.0,1.0,80.0,1,80.0,27.32,107.32,198.59,20.54107638867572,delivered,5.0,76,C
2017-09-16,04031be66943a9c385ff683fcc99d288,b9313515b2c2bfce4c61816d2b0b9217,96531ad02ee61b808945fbf64e8905d8,RJ,633ecdf879b94b5337cca303328e4a25,sao paulo,5ac9d9e379c606e36a8094a6046f75dc,beleza_saude,525.0,4368.0,6.0,109.9,1,109.9,14.52,124.42,124.42,17.89483796292916,delivered,1.0,75,C
2017-09-12,040d14995ebc5de6373a0bc2b5485961,d4abe18305755e18089badeca5d274c3,60a2f98033ef6fcf13603fd56cb0ab82,MG,1caf283236cd69af44cbc09a0a1e7d32,nova iguacu,63940cd00d32f9443e5371765ffc4d6a,brinquedos,750.0,10140.0,3.0,23.99,1,23.99,16.11,40.099999999999994,40.1,20.64468749985099,delivered,5.0,76,C
2018-02-12,041fd411ba3cebfe101d1dadc0666ce6,f9744f196723a6eaf6810ba6b7432532,c632b3435ab76bb6aac6be6e4dee65f9,RS,c003204e1ab016dfa150abc119207b24,cajamar,629e019a6f298a83aeecc7877964f935,automotivo,1750.0,27000.0,5.0,119.9,1,119.9,25.68,145.58,145.58,29.09203703701496,delivered,5.0,49,C
2018-08-09,0420da8d50a3784011290a782f25a8a8,0949b5cf9adad08c1421aa3f1778e4a3,ab2731479851fc8019caa384772a2a0b,SP,406822777a0b9eb5c50e442dd4cd3ec5,tatui,5ca739ddd646d1ba53cca4e3c099a953,brinquedos,1200.0,25012.0,2.0,59.9,1,59.9,14.73,74.63,74.63,11.303668981418014,delivered,5.0,76,C
